id,anio,mes,pais,tipo,energia_mwh,fecha_proceso,lote_id_log,indice_tiempo
5080,2017,08,Paraguay,Importación,976.925,2020-05-05 11:07:40.828862,67,2017-08
5081,2017,08,Uruguay,Importación,0,2020-05-05 11:07:40.828862,67,2017-08
5082,2017,09,Brasil,Exportación,41.706,2020-05-05 11:07:40.828862,67,2017-09
5083,2017,09,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2017-09
5084,2017,09,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2017-09
5085,2017,09,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2017-09
5086,2017,09,Brasil,Importación,44.46,2020-05-05 11:07:40.828862,67,2017-09
5087,2017,09,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2017-09
5088,2017,09,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2017-09
5089,2017,09,Uruguay,Importación,0,2020-05-05 11:07:40.828862,67,2017-09
5090,2017,10,Brasil,Exportación,5162.725,2020-05-05 11:07:40.828862,67,2017-10
5091,2017,10,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2017-10
5092,2017,10,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2017-10
5093,2017,10,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2017-10
5094,2017,10,Brasil,Importación,4920.916,2020-05-05 11:07:40.828862,67,2017-10
5095,2017,10,Chile,Importación,1.564,2020-05-05 11:07:40.828862,67,2017-10
5096,2017,10,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2017-10
5097,2017,10,Uruguay,Importación,8118.769,2020-05-05 11:07:40.828862,67,2017-10
5098,2017,11,Brasil,Exportación,4.319,2020-05-05 11:07:40.828862,67,2017-11
5099,2017,11,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2017-11
5100,2017,11,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2017-11
5101,2017,11,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2017-11
5102,2017,11,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2017-11
5103,2017,11,Chile,Importación,216.079,2020-05-05 11:07:40.828862,67,2017-11
5104,2017,11,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2017-11
5105,2017,11,Uruguay,Importación,18226.66,2020-05-05 11:07:40.828862,67,2017-11
5106,2017,12,Brasil,Exportación,10.062,2020-05-05 11:07:40.828862,67,2017-12
5107,2017,12,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2017-12
5108,2017,12,Paraguay,Exportación,0.276,2020-05-05 11:07:40.828862,67,2017-12
5109,2017,12,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2017-12
5110,2017,12,Brasil,Importación,9.036,2020-05-05 11:07:40.828862,67,2017-12
5111,2017,12,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2017-12
5112,2017,12,Paraguay,Importación,130.062,2020-05-05 11:07:40.828862,67,2017-12
5113,2017,12,Uruguay,Importación,8656.91,2020-05-05 11:07:40.828862,67,2017-12
5114,2018,01,Brasil,Exportación,93.366,2020-05-05 11:07:40.828862,67,2018-01
5115,2018,01,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-01
5116,2018,01,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-01
5117,2018,01,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-01
5118,2018,01,Brasil,Importación,81.504,2020-05-05 11:07:40.828862,67,2018-01
5119,2018,01,Chile,Importación,65.326,2020-05-05 11:07:40.828862,67,2018-01
5120,2018,01,Paraguay,Importación,456.425,2020-05-05 11:07:40.828862,67,2018-01
5121,2018,01,Uruguay,Importación,5191.63,2020-05-05 11:07:40.828862,67,2018-01
5122,2018,02,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2018-02
5123,2018,02,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-02
5124,2018,02,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-02
5125,2018,02,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-02
5126,2018,02,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-02
5127,2018,02,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-02
5128,2018,02,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2018-02
5129,2018,02,Uruguay,Importación,5661.85,2020-05-05 11:07:40.828862,67,2018-02
5130,2018,03,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2018-03
5131,2018,03,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-03
5132,2018,03,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-03
5133,2018,03,Uruguay,Exportación,2802,2020-05-05 11:07:40.828862,67,2018-03
5134,2018,03,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-03
5135,2018,03,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-03
5136,2018,03,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2018-03
5137,2018,03,Uruguay,Importación,6232.67,2020-05-05 11:07:40.828862,67,2018-03
5138,2018,04,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2018-04
5139,2018,04,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-04
5140,2018,04,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-04
5141,2018,04,Uruguay,Exportación,10267,2020-05-05 11:07:40.828862,67,2018-04
5142,2018,04,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-04
5143,2018,04,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-04
5144,2018,04,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2018-04
5145,2018,04,Uruguay,Importación,5632.1,2020-05-05 11:07:40.828862,67,2018-04
5146,2018,05,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2018-05
5147,2018,05,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-05
5148,2018,05,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-05
5149,2018,05,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-05
5150,2018,05,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-05
5151,2018,05,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-05
5152,2018,05,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2018-05
5153,2018,05,Uruguay,Importación,17736.07,2020-05-05 11:07:40.828862,67,2018-05
5154,2018,06,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2018-06
5155,2018,06,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-06
5156,2018,06,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-06
5157,2018,06,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-06
5158,2018,06,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-06
5159,2018,06,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-06
5160,2018,06,Paraguay,Importación,718.125,2020-05-05 11:07:40.828862,67,2018-06
5161,2018,06,Uruguay,Importación,10581.47,2020-05-05 11:07:40.828862,67,2018-06
5162,2018,07,Brasil,Exportación,126.558,2020-05-05 11:07:40.828862,67,2018-07
5163,2018,07,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-07
5164,2018,07,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-07
5165,2018,07,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-07
5166,2018,07,Brasil,Importación,120.438,2020-05-05 11:07:40.828862,67,2018-07
5167,2018,07,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-07
5168,2018,07,Paraguay,Importación,165.05,2020-05-05 11:07:40.828862,67,2018-07
5169,2018,07,Uruguay,Importación,12009.68,2020-05-05 11:07:40.828862,67,2018-07
5170,2018,08,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2018-08
5171,2018,08,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-08
5172,2018,08,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-08
5173,2018,08,Uruguay,Exportación,91.771,2020-05-05 11:07:40.828862,67,2018-08
5174,2018,08,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-08
5175,2018,08,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-08
5176,2018,08,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2018-08
5177,2018,08,Uruguay,Importación,11428.58,2020-05-05 11:07:40.828862,67,2018-08
5178,2018,09,Brasil,Exportación,143798.753,2020-05-05 11:07:40.828862,67,2018-09
5179,2018,09,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-09
5180,2018,09,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-09
5181,2018,09,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-09
5182,2018,09,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-09
5183,2018,09,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-09
5184,2018,09,Paraguay,Importación,0,2020-05-05 11:07:40.828862,67,2018-09
5185,2018,09,Uruguay,Importación,21006.61,2020-05-05 11:07:40.828862,67,2018-09
5186,2018,10,Brasil,Exportación,123103.344,2020-05-05 11:07:40.828862,67,2018-10
5187,2018,10,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-10
5188,2018,10,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-10
5189,2018,10,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-10
5190,2018,10,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-10
5191,2018,10,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-10
5192,2018,10,Paraguay,Importación,6907.108,2020-05-05 11:07:40.828862,67,2018-10
5193,2018,10,Uruguay,Importación,17907.939,2020-05-05 11:07:40.828862,67,2018-10
5194,2018,11,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2018-11
5195,2018,11,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-11
5196,2018,11,Paraguay,Exportación,7.93,2020-05-05 11:07:40.828862,67,2018-11
5197,2018,11,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-11
5198,2018,11,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-11
5199,2018,11,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-11
5200,2018,11,Paraguay,Importación,6612.522,2020-05-05 11:07:40.828862,67,2018-11
5201,2018,11,Uruguay,Importación,23717.59,2020-05-05 11:07:40.828862,67,2018-11
5202,2018,12,Brasil,Exportación,9.092,2020-05-05 11:07:40.828862,67,2018-12
5203,2018,12,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2018-12
5204,2018,12,Paraguay,Exportación,1.878,2020-05-05 11:07:40.828862,67,2018-12
5205,2018,12,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2018-12
5206,2018,12,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2018-12
5207,2018,12,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2018-12
5208,2018,12,Paraguay,Importación,11267.574,2020-05-05 11:07:40.828862,67,2018-12
5209,2018,12,Uruguay,Importación,180035.88,2020-05-05 11:07:40.828862,67,2018-12
5210,2019,01,Brasil,Exportación,12307.695,2020-05-05 11:07:40.828862,67,2019-01
5211,2019,01,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2019-01
5212,2019,01,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-01
5213,2019,01,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-01
5214,2019,01,Brasil,Importación,595.106,2020-05-05 11:07:40.828862,67,2019-01
5215,2019,01,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2019-01
5216,2019,01,Paraguay,Importación,13063.416,2020-05-05 11:07:40.828862,67,2019-01
5217,2019,01,Uruguay,Importación,393804.74,2020-05-05 11:07:40.828862,67,2019-01
5218,2019,02,Brasil,Exportación,32928.292,2020-05-05 11:07:40.828862,67,2019-02
5219,2019,02,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2019-02
5220,2019,02,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-02
5221,2019,02,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-02
5222,2019,02,Brasil,Importación,313.863,2020-05-05 11:07:40.828862,67,2019-02
5223,2019,02,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2019-02
5224,2019,02,Paraguay,Importación,9958.296,2020-05-05 11:07:40.828862,67,2019-02
5225,2019,02,Uruguay,Importación,110320.33,2020-05-05 11:07:40.828862,67,2019-02
5226,2019,03,Brasil,Exportación,3536.835,2020-05-05 11:07:40.828862,67,2019-03
5227,2019,03,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2019-03
5228,2019,03,Paraguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-03
5229,2019,03,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-03
5230,2019,03,Brasil,Importación,55.638,2020-05-05 11:07:40.828862,67,2019-03
5231,2019,03,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2019-03
5232,2019,03,Paraguay,Importación,10349.034,2020-05-05 11:07:40.828862,67,2019-03
5233,2019,03,Uruguay,Importación,236413.43,2020-05-05 11:07:40.828862,67,2019-03
5234,2019,04,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2019-04
5235,2019,04,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2019-04
5236,2019,04,Paraguay,Exportación,7.38,2020-05-05 11:07:40.828862,67,2019-04
5237,2019,04,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-04
5238,2019,04,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2019-04
5239,2019,04,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2019-04
5240,2019,04,Paraguay,Importación,9677.886,2020-05-05 11:07:40.828862,67,2019-04
5241,2019,04,Uruguay,Importación,141989.88,2020-05-05 11:07:40.828862,67,2019-04
5242,2019,05,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2019-05
5243,2019,05,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2019-05
5244,2019,05,Paraguay,Exportación,1.182,2020-05-05 11:07:40.828862,67,2019-05
5245,2019,05,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-05
5246,2019,05,Brasil,Importación,0,2020-05-05 11:07:40.828862,67,2019-05
5247,2019,05,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2019-05
5248,2019,05,Paraguay,Importación,8779.98,2020-05-05 11:07:40.828862,67,2019-05
5249,2019,05,Uruguay,Importación,324024.9,2020-05-05 11:07:40.828862,67,2019-05
5250,2019,06,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2019-06
5251,2019,06,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2019-06
5252,2019,06,Paraguay,Exportación,3.054,2020-05-05 11:07:40.828862,67,2019-06
5253,2019,06,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-06
5254,2019,06,Brasil,Importación,199110.099,2020-05-05 11:07:40.828862,67,2019-06
5255,2019,06,Chile,Importación,0,2020-05-05 11:07:40.828862,67,2019-06
5256,2019,06,Paraguay,Importación,10706.442,2020-05-05 11:07:40.828862,67,2019-06
5257,2019,06,Uruguay,Importación,15847.78,2020-05-05 11:07:40.828862,67,2019-06
5258,2019,07,Brasil,Exportación,0,2020-05-05 11:07:40.828862,67,2019-07
5259,2019,07,Chile,Exportación,0,2020-05-05 11:07:40.828862,67,2019-07
5260,2019,07,Paraguay,Exportación,3.522,2020-05-05 11:07:40.828862,67,2019-07
5261,2019,07,Uruguay,Exportación,0,2020-05-05 11:07:40.828862,67,2019-07
5262,2019,07,Brasil,Importación,11419.571,2020-05-05 11:07:40.828862,67,2019-07
